time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-30T23:03:09.930Z,36.4679,71.2983,89.61,4,mb,,116,0.875,1.16,us,us10008de6,2017-03-30T23:47:51.040Z,"31km SW of Ashkasham, Afghanistan",earthquake,5.5,9.1,0.129,16,reviewed,us,us
2017-03-30T23:01:05.800Z,19.1602,-64.9568,33,3.4,Md,8,316.8,0.90280686,0.23,pr,pr17089012,2017-03-31T00:36:55.040Z,"92km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.1,15.8,0,8,reviewed,pr,pr
2017-03-30T22:55:06.150Z,19.3565006,-155.232666,3.15,1.88,ml,18,102,0.01856,0.35,hv,hv61669466,2017-03-30T23:00:44.360Z,"8km S of Volcano, Hawaii",earthquake,0.45,0.59,0.2,3,automatic,hv,hv
2017-03-30T22:54:40.861Z,61.8581,-147.7618,40.2,1.8,ml,,,,0.97,ak,ak15649325,2017-03-30T23:00:29.938Z,"57km E of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-03-30T22:54:15.829Z,53.2023,-160.8875,35.4,3.5,ml,,,,0.77,ak,ak15649326,2017-03-30T23:50:40.171Z,"196km SSW of Chernabura Island, Alaska",earthquake,,10,,,reviewed,ak,ak
2017-03-30T22:40:45.300Z,19.1576,-65.1743,18,3.3,Md,11,302.4,0.85160289,0.15,pr,pr17089009,2017-03-30T23:41:22.040Z,"84km N of Culebra, Puerto Rico",earthquake,4.9,9.3,0,11,reviewed,pr,pr
2017-03-30T22:38:33.900Z,19.2005,-65.1869,35,3.1,Md,5,302.4,0.89292539,0.23,pr,pr17089014,2017-03-31T00:49:15.473Z,"98km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.8,15.3,0,3,reviewed,pr,pr
2017-03-30T22:34:55.000Z,19.3094,-65.06,29,4,Md,18,302.4,1.01779122,0.27,pr,pr17089010,2017-03-31T03:52:15.057Z,"79km N of Culebra, Puerto Rico",earthquake,1.5,17.7,0,12,reviewed,pr,pr
2017-03-30T22:26:27.130Z,40.7065,-122.3848333,21.53,1.53,md,9,88,0.1161,0.02,nc,nc72782806,2017-03-31T02:45:04.704Z,"3km NNW of Shasta Lake, California",earthquake,0.37,0.93,0.316,9,reviewed,nc,nc
2017-03-30T22:03:40.620Z,57.0166,162.739,42.97,4.9,mb,,121,4.641,0.58,us,us10008ddx,2017-03-30T22:23:01.040Z,"89km N of Ust'-Kamchatsk Staryy, Russia",earthquake,4.9,5.3,0.034,278,reviewed,us,us
2017-03-30T21:58:17.630Z,-55.4397,-28.0883,10.61,5,mb,,102,4.989,0.57,us,us10008ddw,2017-03-30T22:15:38.040Z,"150km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.2,3.9,0.071,63,reviewed,us,us
2017-03-30T21:52:35.470Z,38.8089981,-122.8184967,2.78,1.26,md,19,102,0.008346,0.03,nc,nc72782801,2017-03-31T01:13:02.655Z,"6km WNW of The Geysers, California",earthquake,0.28,0.56,0.21,6,automatic,nc,nc
2017-03-30T21:43:04.770Z,36.2271667,-120.3406667,9.69,1.86,md,39,143,0.1109,0.08,nc,nc72782796,2017-03-31T03:18:01.754Z,"9km N of Coalinga, California",earthquake,0.18,0.48,0.254,27,reviewed,nc,nc
2017-03-30T21:40:52.090Z,33.4935,-116.7883333,5.18,0.82,ml,20,95,0.08342,0.09,ci,ci37844928,2017-03-30T22:01:01.360Z,"9km NE of Aguanga, CA",earthquake,0.15,0.76,0.11,18,reviewed,ci,ci
2017-03-30T21:38:37.507Z,61.5088,-146.6388,24.2,2.2,ml,,,,0.74,ak,ak15649108,2017-03-30T21:46:19.732Z,"44km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-30T21:37:40.200Z,37.036,-120.5285,-0.68,2.18,md,5,293,0.3574,0.62,nc,nc72782791,2017-03-31T00:43:01.601Z,"10km ENE of Dos Palos, California",earthquake,8.08,3.13,0.057,4,reviewed,nc,nc
2017-03-30T21:24:55.700Z,56.7469,162.7727,35.7,5.1,mb,,60,4.425,0.89,us,us10008ddm,2017-03-30T21:41:52.040Z,"60km NNE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.6,4.3,0.031,345,reviewed,us,us
2017-03-30T21:21:49.313Z,64.6981,-149.2552,6.4,0.4,ml,,,,0.47,ak,ak15649135,2017-03-30T22:44:37.396Z,"14km NNW of North Nenana, Alaska",other event,,0.7,,,reviewed,ak,ak
2017-03-30T21:10:25.940Z,44.3101667,-110.9991667,11.83,1.4,md,11,173,0.1452,0.16,uu,uu60191037,2017-03-30T21:41:53.130Z,"21km SW of Old Faithful Geyser, Wyoming",earthquake,0.79,1.64,0.058,5,reviewed,uu,uu
2017-03-30T20:58:41.460Z,33.494,-116.4695,10.38,1,ml,22,139,0.08155,0.09,ci,ci37844920,2017-03-30T21:42:55.393Z,"20km ESE of Anza, CA",earthquake,0.22,0.43,0.092,18,reviewed,ci,ci
2017-03-30T20:56:58.050Z,35.7971667,-120.3481667,10.18,1.93,md,55,54,0.02504,0.06,nc,nc72782781,2017-03-31T05:14:03.000Z,"15km N of Shandon, California",earthquake,0.15,0.26,0.178,35,reviewed,nc,nc
2017-03-30T20:55:55.220Z,44.9618333,-111.9886667,4.8,2.55,ml,47,56,0.274,0.23,mb,mb80203584,2017-03-31T04:58:34.903Z,"37km S of Virginia City, Montana",earthquake,0.28,1.08,0.377,21,reviewed,mb,mb
2017-03-30T20:49:03.260Z,33.649,-117.1611667,-0.63,1.28,ml,12,250,0.08696,0.16,ci,ci37844904,2017-03-30T21:38:08.286Z,"9km S of Menifee, CA",chemical explosion,1.47,31.61,0.127,8,reviewed,ci,ci
2017-03-30T20:46:54.370Z,36.9515,-120.6775,14.08,1.93,md,20,134,0.3341,0.22,nc,nc72782776,2017-03-31T01:11:02.659Z,"2km WSW of South Dos Palos, California",earthquake,0.66,2.41,0.184,26,reviewed,nc,nc
2017-03-30T20:26:31.450Z,38.8381667,-122.8285,2.2,0.56,md,18,50,0.005473,0.02,nc,nc72782771,2017-03-31T03:00:05.724Z,"9km W of Cobb, California",earthquake,0.28,0.49,0.116,5,reviewed,nc,nc
2017-03-30T20:24:52.160Z,35.9209,-98.2686,5,2.7,mb_lg,,48,0.109,0.26,us,us10008dd4,2017-03-30T20:49:56.040Z,"15km ENE of Watonga, Oklahoma",earthquake,1.3,1.9,0.089,33,reviewed,us,us
2017-03-30T20:17:08.910Z,37.7955,-122.2105,12.26,1.18,md,23,86,0.03032,0.06,nc,nc72782766,2017-03-31T04:22:01.872Z,"3km SSE of Piedmont, California",earthquake,0.3,0.87,0.204,17,reviewed,nc,nc
2017-03-30T20:15:18.580Z,35.7983333,-120.3475,10.2,2.82,md,72,55,0.02603,0.07,nc,nc72782756,2017-03-31T02:58:02.720Z,"16km N of Shandon, California",earthquake,0.14,0.24,0.15,71,reviewed,nc,nc
2017-03-30T20:14:37.630Z,37.5178333,-121.8908333,7.47,1.09,md,16,88,0.02253,0.04,nc,nc72782761,2017-03-31T03:51:02.807Z,"9km ESE of Fremont, California",earthquake,0.27,0.47,0.164,12,reviewed,nc,nc
2017-03-30T20:11:18.440Z,36.7493333,-121.5948333,-0.22,1.49,md,18,126,0.02827,0.13,nc,nc72782751,2017-03-31T03:34:41.728Z,"7km ESE of Prunedale, California",quarry blast,0.37,31.61,0.217,13,reviewed,nc,nc
2017-03-30T20:02:26.730Z,46.2893333,-122.2723333,11.26,2.31,ml,31,47,0.01492,0.13,uw,uw61249937,2017-03-30T20:37:07.193Z,"29km S of Morton, Washington",earthquake,0.31,0.38,0.177,20,reviewed,uw,uw
2017-03-30T19:50:39.555Z,59.9176,-140.2644,5.3,1.9,ml,,,,0.83,ak,ak15648703,2017-03-30T20:03:56.079Z,"51km NW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-30T19:35:45.000Z,-20.4229,-69.1531,109.58,4.4,mb,,45,0.28,0.55,us,us10008dcp,2017-03-30T21:23:24.040Z,"105km ESE of Iquique, Chile",earthquake,5.3,4.2,0.155,12,reviewed,us,us
2017-03-30T19:27:22.716Z,38.3915,-118.9167,7.7,2,ml,16,63.65,0.136,0.1934,nn,nn00583702,2017-03-30T20:20:03.880Z,"29km WSW of Hawthorne, Nevada",earthquake,,4.4,0.35,8,reviewed,nn,nn
2017-03-30T19:12:21.630Z,46.2446667,-122.0868333,5.77,0.68,ml,10,191,0.06857,0.07,uw,uw61249912,2017-03-31T00:16:25.660Z,"37km SSE of Morton, Washington",earthquake,0.48,0.93,0.149,4,reviewed,uw,uw
2017-03-30T18:54:48.050Z,34.6286667,-117.1481667,-1.02,1.56,ml,21,50,0.1643,0.38,ci,ci37844848,2017-03-30T21:57:55.074Z,"15km NNE of Apple Valley, CA",quarry blast,0.72,31.61,0.1,31,reviewed,ci,ci
2017-03-30T18:50:45.340Z,-17.0017,-71.1695,78.35,4,mb,,208,1.573,0.65,us,us10008dcf,2017-03-30T20:26:12.040Z,"32km NW of Moquegua, Peru",earthquake,7.3,6.2,0.259,4,reviewed,us,us
2017-03-30T18:50:14.450Z,-5.5574,151.8415,35,4.9,mb,,79,1.394,0.83,us,us10008dci,2017-03-30T19:58:10.040Z,"141km SSW of Kokopo, Papua New Guinea",earthquake,8,2,0.063,81,reviewed,us,us
2017-03-30T18:46:22.385Z,61.9877,-149.9472,30.9,2.9,ml,,,,0.75,ak,ak15648504,2017-03-30T19:14:59.924Z,"19km SSW of Y, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-30T18:38:44.310Z,38.8269997,-122.8548355,1.46,0.46,md,9,106,0.01595,0.02,nc,nc72782736,2017-03-30T18:45:04.490Z,"10km WNW of The Geysers, California",earthquake,0.32,0.9,0.14,2,automatic,nc,nc
2017-03-30T18:34:39.240Z,35.8479,-96.6507,4.68,2.2,mb_lg,,70,0.123,0.17,us,us10008dd2,2017-03-30T23:14:45.813Z,"11km N of Stroud, Oklahoma",earthquake,1.1,4.4,0.255,4,reviewed,us,us
2017-03-30T18:31:57.970Z,38.8308334,-122.7985001,1.83,1.15,md,15,55,0.009889,0.03,nc,nc72782731,2017-03-30T22:03:03.161Z,"6km W of Cobb, California",earthquake,0.29,0.47,0.06,3,automatic,nc,nc
2017-03-30T18:18:34.350Z,-5.7565,151.546,10,5,mb,,52,1.672,1.23,us,us10008dc7,2017-03-30T19:15:19.040Z,"157km E of Kimbe, Papua New Guinea",earthquake,7.2,1.8,0.085,44,reviewed,us,us
2017-03-30T18:03:12.206Z,60.9058,-149.629,37.5,1.2,ml,,,,0.37,ak,ak15648500,2017-03-30T21:19:15.164Z,"37km SSE of Anchorage, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-03-30T18:01:55.830Z,-31.7384,179.8707,424.25,4.4,mb,,135,3.127,0.7,us,us10008dc1,2017-03-30T18:51:45.040Z,"121km WSW of L'Esperance Rock, New Zealand",earthquake,9.1,9.2,0.115,22,reviewed,us,us
2017-03-30T17:53:48.326Z,37.4388,-119.1032,146.9,1.6,ml,3,309.53,0.94,0.1444,nn,nn00583724,2017-03-30T21:16:44.886Z,"26km SSW of Mammoth Lakes, California",earthquake,,36.9,0,1,reviewed,nn,nn
2017-03-30T17:39:22.160Z,44.7601667,-111.0786667,7.84,0.78,md,11,108,0.0411,0.13,uu,uu60190982,2017-03-30T21:20:49.980Z,"11km N of West Yellowstone, Montana",earthquake,0.42,0.8,0.322,9,reviewed,uu,uu
2017-03-30T17:29:21.140Z,38.8168335,-122.8215027,2.91,1,md,11,84,0.009961,0.02,nc,nc72782721,2017-03-30T17:36:02.327Z,"7km NW of The Geysers, California",earthquake,0.41,0.52,0.12,2,automatic,nc,nc
2017-03-30T17:27:07.370Z,46.2956667,-117.9978333,-0.39,2.35,ml,17,184,0.241,0.3,uw,uw61249867,2017-03-30T17:53:28.800Z,"3km SSW of Dayton, Washington",explosion,1.06,31.61,0.096,16,reviewed,uw,uw
2017-03-30T17:25:01.880Z,49.3898333,-120.4936667,-1.5,2.13,ml,9,266,0.9451,0.35,uw,uw61249862,2017-03-31T00:18:05.840Z,"7km S of Princeton, Canada",explosion,8.92,31.61,0.087,6,reviewed,uw,uw
2017-03-30T17:18:33.390Z,38.8225,-122.7756667,1.58,0.22,md,8,103,0.009141,0.03,nc,nc72782716,2017-03-31T03:18:02.755Z,"4km W of Cobb, California",earthquake,0.39,0.74,0.005,2,reviewed,nc,nc
2017-03-30T17:05:56.094Z,63.1533,-149.7161,94.8,1.5,ml,,,,0.46,ak,ak15648315,2017-03-30T17:11:15.197Z,"46km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-30T16:39:23.880Z,37.3233333,-122.1016667,-0.31,1.2,md,9,98,0.01282,0.04,nc,nc72782711,2017-03-31T01:07:55.284Z,"3km S of Loyola, California",quarry blast,0.25,31.61,0.324,9,reviewed,nc,nc
